Price,Created_date,Phone,Engine,Gearbox,Mileage,Year,Color,Body_type,Fuel_type,Air_condition,Drive_type,Condition,Model,Location
1695000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2011,WHITE,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1695000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2011,WHITE,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
2350000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2013,WHITE,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
1170000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,SILVER,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
510000,14-03-2022,+880130 250 1001,14,MANUAL,29816,1996,OTHER,SALOON,GAS,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
1715000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2010,SILVER,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1120000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2009,BLUE,SALOON,GAS,YES,RIGHT,USED,TOYOTA AXIO,DHAKA
1695000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,SILVER,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1285000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2005,WHITE,BUSES & VANS,GAS,YES,RIGHT,USED,TOYOTA NOAH,DHAKA
1030000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,WHITE,HATCHBACK & STATION WAGONS,GAS,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
2060000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2012,OTHER,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
1840000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2010,RED,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
1020000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,BLUE,HATCHBACK & STATION WAGONS,GAS,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
1020000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2005,BLUE,SALOON,GAS,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
1585000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,BLACK,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1295000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2005,WHITE,BUSES & VANS,GAS,YES,RIGHT,USED,TOYOTA NOAH,DHAKA
1235000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2004,BLUE,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
2350000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,WHITE,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
2300000,14-03-2022,+880130 250 1001,14,AUTOMATIC,40000,2018,WHITE,SUV,HYBRID,YES,RIGHT,USED,HONDA VEZEL,DHAKA
850000,15-03-2022,+880130 250 1001,1,AUTOMATIC,50000,2006,GOLD,SEDAN,OTHER,YES,RIGHT,USED,NISSAN BLUEBIRD SYLPHY,CHATTAGAM
1045000,16-03-2022,+880130 250 1001,1,AUTOMATIC,70000,2003,BLACK,SEDAN,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
4600000,23-03-2022,+880130 250 1001,14,AUTOMATIC,2900,2018,GREY,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,NISSAN X-TRAIL,MOULVIBAZAR
1290000,23-03-2022,+880130 250 1001,14,AUTOMATIC,42000,2010,WHITE,HATCHBACK & STATION WAGONS,PETROL,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
1200000,30-03-2022,+880130 250 1001,14,AUTOMATIC,72000,2006,SILVER,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
290000,08-04-2022,+880130 250 1001,4,AUTOMATIC,120000,1999,WHITE,WAGON,LPG,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
1365000,13-04-2022,+880130 250 1001,14,AUTOMATIC,33000,2012,SILVER,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA AXIO,DHAKA
800000,22-04-2022,+880130 250 1001,7,AUTOMATIC,150000,1998,BRONZE,4 WHEEL DRIVES & SUVS,DIESEL,YES,RIGHT,USED,TOYOTA NOAH,DHAKA
1000000,22-04-2022,+880130 250 1001,1,AUTOMATIC,130000,2003,WHITE,SEDAN,GAS,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
1520000,24-04-2022,+880130 250 1001,14,AUTOMATIC,25000,2014,BLACK,HATCHBACK,PETROL,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
200000,26-04-2022,+880130 250 1001,14,MANUAL,200000,1991,GREY,HATCHBACK & STATION WAGONS,GAS,NO,RIGHT,USED,TOYOTA COROLLA,DHAKA
1600000,26-05-2022,+880130 250 1001,10,AUTOMATIC,28000,-1,MAROON,SALOON,OTHER,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
1500000,26-05-2022,+880130 250 1001,14,AUTOMATIC,160000,-1,WHITE,SUV,GAS,YES,RIGHT,USED,TOYOTA RAV4,DHAKA
1850000,31-05-2022,+880130 250 1001,14,AUTOMATIC,29816,2014,BLUE,SUV,DIESEL,YES,RIGHT,USED,FORD ECOSPORT,DHAKA
3050000,31-05-2022,+880130 250 1001,14,AUTOMATIC,29816,2018,BLACK,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA ALLION,DHAKA
3150000,12-06-2022,+880130 250 1001,14,AUTOMATIC,42379,2018,BLACK,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA ALLION,DHAKA
7950000,21-06-2022,+880130 250 1001,14,AUTOMATIC,5202,2017,BRONZE,SEDAN,PETROL,YES,RIGHT,USED,AUDI A6,DHAKA
14000000,21-06-2022,+880130 250 1001,14,MANUAL,9500,2014,WHITE,SALOON,PETROL,YES,RIGHT,USED,MERCEDES-BENZ S–CLASS,DHAKA
10000000,21-06-2022,+880130 250 1001,14,AUTOMATIC,26000,2015,WHITE,4 WHEEL DRIVES & SUVS,DIESEL,YES,RIGHT,USED,TOYOTA PRADO,DHAKA
10000000,21-06-2022,+880130 250 1001,14,MANUAL,26000,2015,WHITE,4 WHEEL DRIVES & SUVS,DIESEL,YES,RIGHT,USED,TOYOTA PRADO,DHAKA
10000000,21-06-2022,+880130 250 1001,14,AUTOMATIC,26000,2015,WHITE,4 WHEEL DRIVES & SUVS,DIESEL,YES,RIGHT,USED,TOYOTA LAND CRUISER PRADO,DHAKA
8500000,21-06-2022,+880130 250 1001,14,AUTOMATIC,34000,2014,BLUE,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,TOYOTA PRADO,DHAKA
10500000,21-06-2022,+880130 250 1001,14,AUTOMATIC,13500,2014,GREEN,SEDAN,PETROL,YES,RIGHT,USED,JAGUAR XJ,DHAKA
16500000,21-06-2022,+880130 250 1001,14,AUTOMATIC,29816,2020,GREEN,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,NEW,MERCEDES-BENZ AMG GLE,DHAKA
750000,23-06-2022,+880130 250 1001,14,AUTOMATIC,191000,-1,SILVER,SEDAN,GAS,YES,RIGHT,USED,TOYOTA PROBOX,DHAKA
300000,24-06-2022,+880130 250 1001,14,MANUAL,29816,-1,BLUE,SALOON,PETROL,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
2100000,02-07-2022,+880130 250 1001,14,AUTOMATIC,70000,2015,OTHER,SUV,PETROL,YES,RIGHT,USED,NISSAN X–TRAIL,CHATTAGAM
1495000,06-07-2022,+880130 250 1001,14,MANUAL,86100,-1,WHITE,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
5850000,06-07-2022,+880130 250 1001,14,AUTOMATIC,56000,-1,BLACK,SUV,PETROL,YES,RIGHT,USED,TOYOTA PRADO,DHAKA
3000000,07-07-2022,+880130 250 1001,14,AUTOMATIC,0,2018,OTHER,SALOON,HYBRID,YES,RIGHT,NEW,TOYOTA NOAH,CHITTAGONG
1150000,08-07-2022,+880130 250 1001,14,AUTOMATIC,29816,-1,BROWN,SEDAN,PETROL,YES,RIGHT,USED,NISSAN BLUEBIRD SYLPHY,DHAKA
1580000,08-07-2022,+880130 250 1001,14,AUTOMATIC,29816,-1,BLACK,SEDAN,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
2650000,09-07-2022,+880130 250 1001,15,AUTOMATIC,51000,2016,WHITE,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,HONDA VEZEL,DHAKA
1875000,10-07-2022,+880130 250 1001,14,AUTOMATIC,29816,2014,BLACK,SEDAN,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
3650000,11-07-2022,+880130 250 1001,2,AUTOMATIC,83800,2016,BLACK,4 WHEEL DRIVES & SUVS,HYBRID,YES,RIGHT,IMPORT,NISSAN X-TRAIL MODE PREMIER,DHAKA
1150000,12-07-2022,+880130 250 1001,20,AUTOMATIC,97000,-1,MAROON,PEOPLE MOVER,PETROL,YES,RIGHT,USED,TOYOTA NOAH,DHAKA
1100000,12-07-2022,+880130 250 1001,24,AUTOMATIC,90000,-1,BRONZE,SALOON,PETROL,YES,RIGHT,USED,HONDA ACCORD,DHAKA
3225000,13-07-2022,+880130 250 1001,18,AUTOMATIC,65275,2017,GREY,4 WHEEL DRIVES & SUVS,HYBRID,YES,RIGHT,IMPORT,TOYOTA CH-R,DHAKA
390000,14-07-2022,+880130 250 1001,5,MANUAL,300000,2014,WHITE,SEDAN,GAS,YES,RIGHT,USED,TOYOTA CORONA,DHAKA
610000,24-07-2022,+880130 250 1001,14,AUTOMATIC,100000,-1,SILVER,SALOON,GAS,YES,RIGHT,USED,TOYOTA VISTA,DHAKA
1000000,01-08-2022,+880130 250 1001,1,AUTOMATIC,50000,2018,GREY,HATCHBACK,HYBRID,YES,RIGHT,USED,TOYOTA AQUA,DHAKA
650000,03-08-2022,+880130 250 1001,14,AUTOMATIC,125000,-1,WHITE,SALOON,GAS,YES,RIGHT,USED,TOYOTA PROBOX,NATOR
16700000,10-08-2022,+880130 250 1001,14,AUTOMATIC,19700,2016,WHITE,SUV,DIESEL,YES,RIGHT,USED,TOYOTA LAND CRUISER PRADO ZX V8,DHAKA
1590000,18-08-2022,+880130 250 1001,14,AUTOMATIC,29816,-1,SILVER,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1350000,21-08-2022,+880130 250 1001,14,AUTOMATIC,29816,2021,BLUE,CONVERTIBLE,GAS,YES,RIGHT,USED,ACURA EL,BADARGANJ
4550000,23-08-2022,+880130 250 1001,14,AUTOMATIC,31000,2014,BLACK,SUV,PETROL,YES,RIGHT,USED,TOYOTA HARRIER,DHAKA
850000,29-08-2022,+880130 250 1001,14,AUTOMATIC,29816,2009,GREY,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA VITZ,DHAKA
1234000,29-08-2022,+880130 250 1001,6,AUTOMATIC,100000,2013,WHITE,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA CAMRY,DHAKA
4180000,02-09-2022,+880130 250 1001,14,AUTOMATIC,29816,2021,MAROON,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA PREMIO,DHAKA
3580000,02-09-2022,+880130 250 1001,14,AUTOMATIC,6835,2019,WHITE,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA PREMIO,DHAKA
3550000,02-09-2022,+880130 250 1001,14,AUTOMATIC,58196,2016,BLACK,SUV,HYBRID,YES,RIGHT,IMPORT,NISSAN X-TRAIL,DHAKA
3350000,02-09-2022,+880130 250 1001,14,AUTOMATIC,46533,2017,BLACK,MPV,HYBRID,YES,RIGHT,IMPORT,TOYOTA ESQUIRE,DHAKA
3550000,02-09-2022,+880130 250 1001,14,AUTOMATIC,49456,2016,WHITE,SUV,HYBRID,YES,RIGHT,IMPORT,NISSAN X–TRAIL,DHAKA
1500000,04-09-2022,+880130 250 1001,14,AUTOMATIC,145000,2003,BEIGE,SALOON,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
3490000,05-09-2022,+880130 250 1001,14,AUTOMATIC,15000,2019,GREY,SEDAN,PETROL,YES,RIGHT,USED,HONDA CIVIC,DHAKA
1900000,06-09-2022,+880130 250 1001,14,AUTOMATIC,70000,2004,WHITE,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,TOYOTA HARRIER,DHAKA
530000,06-09-2022,+880130 250 1001,14,AUTOMATIC,29816,1997,GREEN,SEDAN,GAS,YES,RIGHT,USED,TOYOTA CARINA,DHAKA
3770000,11-09-2022,+880130 250 1001,14,AUTOMATIC,16742,2019,BLUE,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA PREMIO,DHAKA
1700000,11-09-2022,+880130 250 1001,14,AUTOMATIC,28118,2016,SILVER,HATCHBACK,PETROL,YES,RIGHT,IMPORT,TOYOTA FIELDER,DHAKA
2250000,18-09-2022,+880130 250 1001,14,AUTOMATIC,41600,2014,SILVER,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
3000000,21-09-2022,+880130 250 1001,25,MANUAL,17000,2006,BLUE,SPORT CAR,PETROL,YES,RIGHT,USED,SUBARU WRX STI,DHAKA
4850000,21-09-2022,+880130 250 1001,18,AUTOMATIC,17500,2010,GREY,SALOON,PETROL,YES,RIGHT,USED,MERCEDES-BENZ E–CLASS,DHAKA
220000,22-09-2022,+880130 250 1001,14,AUTOMATIC,80000,1996,GREY,SALOON,GAS,YES,RIGHT,USED,NISSAN SUNNY,DHAKA
1650000,27-09-2022,+880130 250 1001,15,AUTOMATIC,137000,2008,SILVER,SEDAN,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
5990000,29-09-2022,+880130 250 1001,20,AUTOMATIC,5400,2014,BLACK,SUV,PETROL,YES,RIGHT,USED,LEXUS NX,DHAKA
3090000,30-09-2022,+880130 250 1001,25,AUTOMATIC,32000,2012,BLACK,SEDAN,HYBRID,YES,RIGHT,USED,TOYOTA CAMRY,DHAKA
14000000,30-09-2022,+880130 250 1001,15,AUTOMATIC,3000,2019,BLACK,SPORT CAR,ELECTRIC,YES,RIGHT,USED,BMW I8,DHAKA
7990000,30-09-2022,+880130 250 1001,20,AUTOMATIC,17000,2016,WHITE,SEDAN,PETROL,YES,RIGHT,USED,MERCEDES-BENZ E200,DHAKA
3190000,30-09-2022,+880130 250 1001,24,AUTOMATIC,25000,2014,WHITE,SEDAN,HYBRID,YES,RIGHT,USED,TOYOTA SAI,DHAKA
1170000,01-10-2022,+880130 250 1001,14,MANUAL,250000,2006,WHITE,COUPE,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1170000,01-10-2022,+880130 250 1001,15,AUTOMATIC,250000,2006,WHITE,COUPE,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1980000,03-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2014,RED,SUV,HYBRID,YES,RIGHT,USED,HONDA VEZEL,DHAKA
2020000,03-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2014,WHITE,SUV,PETROL,YES,RIGHT,USED,HONDA VEZEL,DHAKA
1760000,06-10-2022,+880130 250 1001,15,AUTOMATIC,94000,2016,SILVER,SEDAN,HYBRID,YES,RIGHT,IMPORT,TOYOTA AXIO,DHAKA
780000,13-10-2022,+880130 250 1001,1,AUTOMATIC,100000,2003,BEIGE,SALOON,OTHER,YES,RIGHT,USED,TOYOTA SIENTA,SIRAJGANJ
860000,17-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2004,SILVER,SEDAN,GAS,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
1065000,17-10-2022,+880130 250 1001,15,AUTOMATIC,100000,2002,SILVER,SEDAN,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
1580000,17-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2009,BLACK,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1035000,17-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2003,RED,SEDAN,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
3150000,19-10-2022,+880130 250 1001,20,AUTOMATIC,37000,2016,WHITE,SUV,HYBRID,YES,RIGHT,USED,NISSAN X–TRAIL,DHAKA
3400000,19-10-2022,+880130 250 1001,18,AUTOMATIC,29816,2017,BRONZE,SUV,HYBRID,YES,RIGHT,IMPORT,TOYOTA CH-R,DHAKA
2600000,19-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2015,BLUE,SUV,HYBRID,YES,RIGHT,IMPORT,HONDA VEZEL,DHAKA
4500000,19-10-2022,+880130 250 1001,18,MANUAL,29816,2005,BLUE,SPORT CAR,PETROL,YES,RIGHT,USED,LOTUS ELISE,DHAKA
3800000,19-10-2022,+880130 250 1001,15,AUTOMATIC,38000,2019,RED,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
1195000,19-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2009,SILVER,SEDAN,GAS,YES,RIGHT,USED,TOYOTA AXIO,DHAKA
795000,19-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2001,WHITE,SEDAN,GAS,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
1880000,19-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2014,RED,SUV,PETROL,YES,RIGHT,USED,HONDA VEZEL,DHAKA
1070000,19-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2002,BLACK,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1720000,19-10-2022,+880130 250 1001,15,AUTOMATIC,64000,2016,WHITE,SEDAN,HYBRID,YES,RIGHT,IMPORT,TOYOTA AXIO,DHAKA
3450000,21-10-2022,+880130 250 1001,15,AUTOMATIC,4597,2018,WHITE,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA PREMIO,DHAKA
2550000,21-10-2022,+880130 250 1001,20,AUTOMATIC,81000,2016,WHITE,MPV,PETROL,YES,RIGHT,IMPORT,TOYOTA HI-ACE,DHAKA
1265000,24-10-2022,+880130 250 1001,15,AUTOMATIC,54000,2010,BLACK,WAGON,PETROL,YES,RIGHT,USED,TOYOTA AXIO,DHAKA
380000,24-10-2022,+880130 250 1001,15,AUTOMATIC,29816,1997,GREY,HATCHBACK,GAS,YES,RIGHT,USED,TOYOTA STARLET,DHAKA
3590000,24-10-2022,+880130 250 1001,24,AUTOMATIC,29816,2016,WHITE,SUV,PETROL,YES,RIGHT,USED,HYUNDAI SANTA FE,DHAKA
2020000,26-10-2022,+880130 250 1001,15,AUTOMATIC,89000,2012,GREY,SEDAN,GAS,YES,RIGHT,USED,TOYOTA PREMIO,DHAKA
3190000,26-10-2022,+880130 250 1001,15,AUTOMATIC,25505,2017,WHITE,SEDAN,PETROL,YES,RIGHT,IMPORT,TOYOTA PREMIO,DHAKA
5200000,27-10-2022,+880130 250 1001,20,AUTOMATIC,4600,2020,RED,SUV,PETROL,YES,RIGHT,USED,NISSAN X-TRAIL,DHAKA
2950000,27-10-2022,+880130 250 1001,20,MANUAL,29816,2007,GREY,SPORT CAR,PETROL,YES,RIGHT,USED,SUBARU IMPREZA WRX STI,DHAKA
3895000,27-10-2022,+880130 250 1001,24,MANUAL,29816,2015,WHITE,PICK UP TRUCK,DIESEL,YES,RIGHT,USED,TOYOTA HILUX,DHAKA
3170000,28-10-2022,+880130 250 1001,14,AUTOMATIC,17890,2017,MAROON,SUV,HYBRID,YES,RIGHT,USED,TOYOTA C-HR,DHAKA
3170000,28-10-2022,+880130 250 1001,14,AUTOMATIC,17890,2017,MAROON,SUV,HYBRID,YES,RIGHT,USED,TOYOTA CH-R,DHAKA
1890000,28-10-2022,+880130 250 1001,24,AUTOMATIC,29816,2003,BLACK,SUV,PETROL,YES,RIGHT,USED,TOYOTA HARRIER,DHAKA
1800000,28-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2015,BLACK,WAGON,HYBRID,YES,RIGHT,USED,TOYOTA FIELDER WXB,DHAKA
1100000,28-10-2022,+880130 250 1001,15,AUTOMATIC,29816,2004,SILVER,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
1050000,30-10-2022,+880130 250 1001,14,AUTOMATIC,100000,2005,GOLD,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
7480000,01-11-2022,+880130 250 1001,20,AUTOMATIC,58500,2016,BLACK,SUV,PETROL,YES,RIGHT,IMPORT,TOYOTA HARRIER,DHAKA
1600000,02-11-2022,+880130 250 1001,15,AUTOMATIC,40000,2016,SILVER,SEDAN,HYBRID,YES,RIGHT,USED,HONDA GRACE,DHAKA
5500000,02-11-2022,+880130 250 1001,18,AUTOMATIC,29816,2014,BLACK,SEDAN,PETROL,YES,RIGHT,USED,MERCEDES-BENZ E–CLASS,DHAKA
3620000,03-11-2022,+880130 250 1001,18,AUTOMATIC,8920,2020,WHITE,SEDAN,HYBRID,YES,RIGHT,IMPORT,TOYOTA COROLLA,DHAKA
4750000,03-11-2022,+880130 250 1001,15,AUTOMATIC,29816,2021,WHITE,SUV,PETROL,YES,RIGHT,IMPORT,HONDA VEZEL,DHAKA
2020000,03-11-2022,+880130 250 1001,15,AUTOMATIC,29816,2016,SILVER,SEDAN,HYBRID,YES,RIGHT,IMPORT,HONDA GRACE,DHAKA
1595000,03-11-2022,+880130 250 1001,15,AUTOMATIC,29816,2014,BLACK,WAGON,HYBRID,YES,RIGHT,USED,TOYOTA FIELDER WXB,DHAKA
2670000,03-11-2022,+880130 250 1001,15,AUTOMATIC,64401,2016,BLACK,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
