web-scraper-order,web-scraper-start-url,container,container-href,Price,Created_date,Phone,Engine,Gearbox,Mileage,Year,Color,Body_type,Fuel_type,Air_condition,Drive_type,Condition,Model,Location
"1667568739-2058","https://www.garirbazar.com/buy-cars","51995 Toyota CarinaDhakaPriceBDT 300,000Mileage100,000 km5 L (LPG)Automaticরানিং টয়োটা কারিনা মাই রোড
২০২২ পর্যন্ত রেজিট্রেশন করা
১৫০০ সিসি
চিল এসি
নতুন চাকা রিম সহ
সকল মাল্টিমিডিয়া বেবস্থা
সুন্দর সাউন্ড
ফুল সিএনজি মিটার ইউরোপ
সিল্ভার কালার
ফার্স্ট পার্টি স্মার্ট কার্ড
নাম ট্রান্সফার সম্ভব

Running toyota Carina Myroad 1990 Model
Registration and Tax Token Complete 2022 Years.
1500 CC Running Engine, Good Suspension
Chilled AC, cool within 5 minutes
New wheels with Chinese Rims. Extra Wheel in Back.
All Multimedia options available inside with 4 sound box.
High Quality Sony Sound System.
Full CNG Autu, built in CNG Meter from Europe.
Color: Silver

First party, so name transfer possible.
Smart card available, insurance available.


450000 PricePosted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-carina-dhaka-dhaka-2577","BDT 300,000","October 01","+880130 250 1001","Engine5 L","GearboxAutomatic","Mileage100,000 km","Year1995","ColorSilver","Body TypeSaloon","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Carina","Dhaka"
"1667568741-2059","https://www.garirbazar.com/buy-cars","82004 Honda CityDhakaPriceNEGOTIABLEMileage40,000 kmN/A (Petrol)AutomaticHONDA CITY
PEARL WHITE COLOR
MODEL:2004
REG:2011 
MILEAGE-40,000 KM ONLY
ENGINE:1496CC
FOUR SYLINDER EIGHT COIL ENGINE
SUPERB ACCELERATION
NO CNG, RUN ONLY BY OCTANE FROM THE BEGINNING,SO ENGINE CONDITION IS AWESOME,SELF DRIVEN BY OWNER,VERY LIMITED USED,MOSTLY USED FOR LONG DRIVE BY OWNER,JUST BUY AND DRIVE CONDITION,I AM THE SECOND OWNER OF THIS CAR,NAME TRANSFER POSSIBLE ANYTIME,PAPERS UPDATED FOR NEXT 2 YEARS(2022)
Details:
key start
2WD, ABS
Air Bag
Alloy Wheel
SUPER FRESH beige Interior
power Door,power Window
DVD, TV Navigation, FM Radio Player
Headlight
NEON Light,
Power Mirror,
Soft Touch AC Panel
Retract Mirror
Power Steering
Back Camera

এটি আমাদের অনেক শখের কার, ব্যক্তিগত প্রয়োজনে বিক্রি করব,এই কারে কোন প্রকার সমস্যা নেই, আমি শুধু লং ড্রাইভে গেলে এটি নিয়ে যায়, ঢাকা শহরে খুব কম ব্যবহার করা হয় তাই ইঞ্জিন কন্ডিশন খুবই ভালো, আর নিজে চালায় বিধায় সবকিছু ঠিকঠাক রাখি, নির্দিধায় আপনি এটি নিতে পারেন,কাগজ আগামী ২ বছরের জন্য আপডেট করা আছে, আপনি শুধু নাম পরিবর্তন করে নিবেন-01954618350Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-city-dhaka-dhaka-2578","NEGOTIABLE","October 01","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage40,000 km","Year2004","ColorWhite","Body TypeSaloon","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Honda City","Dhaka"
"1667568744-2060","https://www.garirbazar.com/buy-cars","32002 Toyota NoahDhakaPriceNEGOTIABLEMileage301,000 kmN/A (Other)Automaticবাড়ির কাজে ব্যবহার হয়। 
দূর পাল্লায় এক্সিলারেশন খুবই ভালো। 
গাড়ির ভেতরের কন্ডিশন পুরোনো গাড়ির মত নয় বরং বেশ ওয়েল মেইনটেনড। 
বাকিটা নিজে চালিয়ে দেখে নিবেন। 

দয়া করে প্রকৃত ক্রেতা ছাড়া অন্যরা কল দিবেন না।  Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-noah-dhaka-dhaka-2579","NEGOTIABLE","October 01","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage301,000 km","Year2002","ColorWhite","Body TypeBuses & Vans","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Noah","Dhaka"
"1667568746-2061","https://www.garirbazar.com/buy-cars","52012 Hyundai AccentChittagongPriceNEGOTIABLEMileage52,000 kmN/A (Petrol)Automatic#Quick_Sell

🚘#Hyundai Accent Blue

▶ব্র্যান্ড: Hyundai 

▶মডেল: Accent Blue

▶মডেল ইয়ার: 2012

▶রেজিস্ট্রেশন সাল:  2012

🔸মাইলেজ: 52,000 Km  

🔸কালার: White

🔸কন্ডিশন: ব্যবহৃত

🔸ট্রান্সমিশন: অটোমেটিক

▶বডি টাইপ: Sallon

▶ফুয়েল টাইপ: Octane 

▶ইঞ্জিন ক্ষমতা: 1400 সিসি

▶Papers:- Updated.

All auto, 

Base Interior,

Fresh seat ,

Hid light,

Fog lamp,

Back and Front Glass, 

Fresh interior,

New Tyer ,

Transmission  all auto, 

Chilled Ac.

All Paperwork Updated.

Fresh Condition

Just Buy & Drives.

CHILLED Sound 🔊 System.

No need to work

Name transfer anytime

Not a Single problem 

Used by #Owner

💯% Fresh

🕵শুধু মাত্র  Real Buyer ফোন করুন। অন্যরা বাজে কমেণ্টস করবেন না।

🚫Don't Inbox me & Comments Below.. Direct ☎call me.

🔔Price - 11,50,000 tk only.

📣 আগ্রহী ক্রেতারা গাড়ি দেখতে চাইলে সরাসরি ফোন দিন। গাড়ি না দেখে অনলাইনে দামাদামি করবেন না।

plz knock me.

For Buy This Beautiful Unit plz Call me: 📲Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-hyundai-accent-chittagong-chittagong-2580","NEGOTIABLE","October 04","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage52,000 km","Year2012","ColorWhite","Body TypeSaloon","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Hyundai Accent","Chittagong"
"1667568749-2062","https://www.garirbazar.com/buy-cars","52006 Toyota FortunerDhakaPriceNEGOTIABLEN/A (Petrol)AutomaticOnly real buyer contact us for more details. Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-fortuner-dhaka-dhaka-2581","NEGOTIABLE","October 05","+880130 250 1001","EngineN/A","GearboxAutomatic","Year2006","ColorBlack","Body Type4 Wheel Drives & SUVs","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Fortuner","Dhaka"
"1667568751-2063","https://www.garirbazar.com/buy-cars","52014 Toyota PremioDhakaPriceNEGOTIABLEMileage36,000 kmN/A (Petrol)AutomaticDriven by a Military Senior Officer. Highly Maintained Super Fresh Sedan. Directly Imported From Japan thus no tempering of odometer. 
Toyota G Premio 2014.
Registration 2016.
1500 cc
36000 Km Mileage (It was 28000 Km when Imported).
Automatic Transmission. 
Single Hand Driven by owner.
Jet Black Super Shining Color.
Original Wooden Dashboard.
Crome Side view Mirror.
Key Start, All Options Auto.
Newly Installed Battery.
15'' Almost new Yokohama tire with Original Sports rim.
HID wide angle headlight.
New Spare wheel (Never Used).
Untouched tools box. 
Original Toyota inbuild Sound system with multitouch Player.
Only Octane driven, Soundless engine.
Bottom door light with model name.
Front and back Shiny SS bumper.
New Seat Cover with Good grade Headrest.
 
No accident history, not even a single Scratch.
Papers Up-to-date.
Name transfer possible anytime.
Price 25,00,000/- (Negotiable) 
Feel free to contact for any Quarry.
01743151606Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-premio-dhaka-dhaka-2582","NEGOTIABLE","October 06","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage36,000 km","Year2014","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Premio","Dhaka"
"1667568754-2064","https://www.garirbazar.com/buy-cars","82012 Volkswagen JettaDhakaPriceNEGOTIABLEMileage16,200 kmN/A (Petrol)ManualImported, Brand new only few K.M. Usage. 
Price : 33 lakh's ( 3300000)
Volkswagen Sidan Car JETTA
Model : 2012
Registration: 2012
CC : 1400(Power 3000)
SUNROOF
SERIAL : 33
ORIGINAL GRAY COLOR
MILEAGE: 16200
2 SET HEATER + POWER
AUTO PARKING
SOUND SYSTEM
COLORING GLASS
OWNER SHIP CHANGE POSSIBLE
SUPER FRESH CONDITION
LIMITED FAMILY USED (100 PERCENT FRESH CONDITION)
ALL PAPERS OK. (NO MEDIA, NO DEALER PERSON)
ONLY REAL BUYER CONTACT WITH ME.
+8801714084121Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-volkswagen-jetta-dhaka-dhaka-2585","NEGOTIABLE","October 11","+880130 250 1001","EngineN/A","GearboxManual","Mileage16,200 km","Year2012","ColorGrey","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Volkswagen Jetta","Dhaka"
"1667568756-2065","https://www.garirbazar.com/buy-cars","62004 Toyota FielderDhakaPriceNEGOTIABLEMileage12,000 kmN/A (LPG)AutomaticToyota Fielder G Edition (Model 2004, Registration 2008)
Documents up to date Till 2022
Price: 940,000/-
Place to visit: Eskaton, Ramna/ Banglamotor
Brand: Toyota Fielder
Trim / Edition: G Edition
Model year: 2004 (November)
Registration year: 2008
Transmission: Automatic
Fuel type: CNG, Octane
Engine capacity: 1,500 cc
Kilometers run: 72000 km
Engine Best Condition
Interior Condition fully awesome
🚗Serial: 23
🚗Condition: Fresh
🚗Color: Black
🚗All Paper Are Up to Date
· Tax = July 2021
· Fitness = July 2022 (2 years)
· Insurance = July 2021
🚗Option: Fully Auto
🚗Fresh and Built
🚗AC Super Cool
🚗 CD + DVD
🚗No Any Accidental History
Easy name transfer within one day since car is in the name of mine.
Call the Owner for details: 01515-633805Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-fielder-dhaka-dhaka-2587","NEGOTIABLE","October 12","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage12,000 km","Year2004","ColorBlack","Body TypeSaloon","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Fielder","Dhaka"
"1667568759-2066","https://www.garirbazar.com/buy-cars","81991 Toyota CorollaDhakaPriceNEGOTIABLEMileage90,000 kmN/A (Petrol)ManualToyota Corolla model 1991, registration 1996, mileage 90000, 1290cc, octane and cng driven, cng 60 litter from intraco, body fresh ektu scratch ache, ac te kaj korte hobe, fitness upto 2022, all papers uptodate, all option manual, price 250000 (alochona shapekhkho) location: beside Baf Shaheen college dhaka, Mohakhali fly over er sathe, phone 01717140063Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-2588","NEGOTIABLE","October 13","+880130 250 1001","EngineN/A","GearboxManual","Mileage90,000 km","Year1991","ColorWhite","Body TypeWagon","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667568761-2067","https://www.garirbazar.com/buy-cars","12011 Hyundai ElantraDhakaPriceNEGOTIABLEMileage18,000 kmN/A (Petrol)Automaticফ্রেশ কন্ডিশন ও আকর্ষণীয় ডিজাইনের গাড়ি বিক্রয়

কারঃ হুন্দাই এলেন্ট্রা, স্পোর্টস সিডান
কালারঃ সিলভার
মাইলেজঃ ১৮,০০০+ কি.মি.

ইঞ্জিনঃ ১৬০০ সিসি
সিরিয়ালঃ ৩৩, মডেলঃ ২০১১
বডি টাইপঃ ৪ডোর সেলুন

গাড়ির বিবরণঃ ফ্রেশ কন্ডিশন, রেজিষ্ট্রেশনঃ ২০১২, 4 Disk Brake, Power Steering, Back Sensor, Leather Seat,, সিলভার কালার, সিরিয়াল- ঢাকা মেট্রো গ ৩৩..।

যোগাযোগঃ সুইট কুমার ০১৭৫৩-৫২০১৫৬;  রানা ০১৭১৬-৯৩৯২৯৯
নুরুল হক ০১৭১২-১৮৪৩০১। ৩৩ তোপখানা রোড, মেহেরবা প্লাজা (১৩তলা), ঢাকা-১০০০।

Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-hyundai-elantra-dhaka-dhaka-2589","NEGOTIABLE","October 17","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage18,000 km","Year2011","ColorSilver","Body TypeSaloon","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Hyundai Elantra","Dhaka"
"1667568763-2068","https://www.garirbazar.com/buy-cars","62003 Nissan SunnyDhakaPriceNEGOTIABLEMileage200,000 kmN/A (Other)AutomaticGood condition, used for school duty only.Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-nissan-sunny-dhaka-dhaka-2590","NEGOTIABLE","October 20","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage200,000 km","Year2003","ColorBlue","Body TypeSedan","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Nissan Sunny","Dhaka"
"1667568766-2069","https://www.garirbazar.com/buy-cars","52004 Mazda AxelaDhakaPriceNEGOTIABLEMileage87,000 kmN/A (Petrol)AutomaticMazda 2004/2008 registration. Runs perfectly fine both in Octane and CNG. Has dent paint and small work. Papers Up-to-date 21-22. BRTA name transfer mandatory.
Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-mazda-axela-dhaka-dhaka-2591","NEGOTIABLE","October 20","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage87,000 km","Year2004","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Mazda Axela","Dhaka"
"1667568768-2070","https://www.garirbazar.com/buy-cars","22001 Toyota CorollaDhakaPriceBDT 35,000Mileage15,000 km4 L (Petrol)AutomaticGood condition car. quality guaranteed. Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-2595","BDT 35,000","October 24","+880130 250 1001","Engine4 L","GearboxAutomatic","Mileage15,000 km","Year2001","ColorGrey","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667568771-2071","https://www.garirbazar.com/buy-cars","32003 Toyota NoahDhakaPriceNEGOTIABLEMileage125,000 kmN/A (Other)AutomaticNoah x 2003 model reg-2009 . Good condition,All paper ok just buy & drive.Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-noah-dhaka-dhaka-2596","NEGOTIABLE","October 25","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage125,000 km","Year2003","ColorPink","Body TypePeople mover","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Noah","Dhaka"
"1667568773-2072","https://www.garirbazar.com/buy-cars","52010 Toyota PremioDhakaPriceNEGOTIABLEMileage53,000 kmN/A (Petrol)AutomaticBrand: Toyota Model: Premio Trim / Edition: F Premio FL Model , PUSH START year: 2010 Registration year: 2014 Condition: Used Transmission: Automatic Body type: Saloon Fuel type: Octane, CNG Engine capacity: 1,500 cc Kilometers run: 53,000 km Description: Color-silver, interior- biscuit ,body full fresh, all papers up to date. Sale price: 22 lacsPosted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-premio-dhaka-dhaka-2597","NEGOTIABLE","October 25","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage53,000 km","Year2010","ColorSilver","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Premio","Dhaka"
"1667568776-2073","https://www.garirbazar.com/buy-cars","5Bajaj QuteChittagongPriceBDT 120,000N/A (Other)ManualSolpo dame ekti delivery van bikroy kra hbe, fresh condition. Khub e jotner sathe rakha gariti, kine thokben na guarantee.gariti 4 stroke gas diye chole.  Sostay bikri kre dicchi takar proyojon tai. Only buyers can call me.Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-bajaj-qute-chittagong-chittagong-2598","BDT 120,000","October 26","+880130 250 1001","EngineN/A","GearboxManual","YearN/A","ColorOther","Body TypeBuses & Vans","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","null","Bajaj Qute","Chittagong"
"1667568778-2074","https://www.garirbazar.com/buy-cars","52013 Nissan VanetteDhakaPriceNEGOTIABLEMileage30,000 kmN/A (Other)ManualI have a Freezing car NISSAN VANETTE.  I want to sell it.
Model 2013 and Registration 2019. All Papers up to Dated till 17th February and July 2021.
AC is perfect condition Both Front and Back for ice-cream or Freezing Milk. 
Front AC Super Cool.
Rear AC -7 Degree Celsius.. Freezing Van.
Car Condition Smoot and Soundless.
Only 8-9 Months used and very good condition.
Power Window automatic control. Gear Manual.
Fuel : Both CNG 90 and Octane & Petrol
Price is only 8 Lac Taka.
Location Dhaka Cantonment, Dhaka 1206
Call only interested people.
01678714652Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-nissan-vanette-dhaka-dhaka-2601","NEGOTIABLE","October 27","+880130 250 1001","EngineN/A","GearboxManual","Mileage30,000 km","Year2013","ColorWhite","Body TypeVan","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Nissan Vanette","Dhaka"
"1667568780-2075","https://www.garirbazar.com/buy-cars","22005 Toyota AllionDhakaPriceBDT 130Mileage176,000 kmN/A (Petrol)ManualCNG converted by RahimAfrooz. Cylinder has fitness till 2024. Most of the old parts replaced. Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-2602","BDT 130","October 27","+880130 250 1001","EngineN/A","GearboxManual","Mileage176,000 km","Year2005","ColorGold","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Allion","Dhaka"
